,text,username,hashtags
42,"New to the #MS project: Louis Ortiz,famed Obama impersonator, amazing guy,meta fabulous story,symbolism up the wazoo http://audacitythemovie.com/ ",NFR,['MS']
43,“@jimrutherfordva: Remember that State Sen #Obama in IL voted 4x to uphold legality of what #Gosnell routinely did.”.,Eleanor Voutsinas,"['Obama', 'Gosnell']"
44,Better late than never MT @EndingHunger: @BarackObama proposes end to monetized #foodaid http://ow.ly/k0whn  c @BackpackFarm #MDGMomentum,(((Yangbo Du))),"['foodaid', 'MDGMomentum']"
45,"Obama said chill you gonna get me impeached, you don't need this shit anyway just chill with me on the beach",I can’t think of a new name!,[]
46,"“@robfit: Arrested illegals mock Border Patrol ....""Obama's gonna let me out."" Obama has turned the US into a joke. http://radio.woai.com/articles/woai-local-news-119078/obama-will-let-me-out-11180453/ …”.",Eleanor Voutsinas,[]
47,"Business start turn all full time job to part time .so they dont have to gove them benefits,Obama work for or against US ?",Mr.Someone,[]
48,"Obama care will secure a health care for everyone,promise they can not secure a lunch for u.",Mr.Someone,[]
49,"I like @tomkeene's title for Jonathan Alter's new book about the White House: ""Divide and Conquer: President Obama, Year Five""",Matt Miller,[]
50,"@DakotaCassidy pope Coz I wana know if he wears getup 24/7,Obama wana know if he curses,&ur awesome so Im sure ur fun in real life lol",Valerie,[]
51,Dear leader Boehner's patronizing attitude  towards President Obama makes one wonder if he knew that our president is black and won. Creepy,Allan Fabian,[]
52,"@DakotaCassidy oooooh unless ppl create ways to b invisible ...then I'm stalking ppl I've been curious about lol like Obama,pope and u :-)",Valerie,[]
53,Yeaaaaa fuck Obama,Tom Patania,[]
54,And then do that essay for Michelle Obama. Which I'm 100% sure she'll never read,Valentina Ascencio-Garcia,[]
55,"RT @Aqua174: Photo: “Look, tell Jay-Z to holla at the Treasury Dept. direct, I’m kinda busy yo.” http://tmblr.co/Zfl7ZyiT2wsO  #obama #hiphop",Jason Stein,"['obama', 'hiphop']"
56,@SetStefany I like em too. Them Michelle Obama boss lady types. Not the ones with leopard spots on their asses.,Mr. $hine 🤴🏾🥃,[]
57,"""Unless I turn into Obama, I ain't paying for shit."" #harlempublic #overheardinny",Kara Sikora,"['harlempublic', 'overheardinny']"
58,"""Edge of Glory"" shall heretofore be known as ""Obama's Theme"" (@ lgbtcenternyc) http://4sq.com/151G9EE ",proko5,[]
59,When does Sasha Fierce... I mean Sasha Obama turn 18. She gone start dating soon and gone need a boyfriend. Somebody tell her I'm available,Wit,[]
60,"Obama's multiyear process of a backdoor endorsement of gay marriage is pathetic.....Republicans should lead...""Pursuit of happiness""..Done..",John,[]
61,"azipaybarah:

In Harlem, where Obama lived. http://bit.ly/fOfXtC via http://outside.in/10031",10031,[]
62,Is President Obama Anti-Business? http://bit.ly/i7WXaF via http://outside.in/10038,10038,[]
63,"Even Obama giving up on Dem's disastrous health plan..

WSJ.com - Obama Supports Health-Law Waiver Proposal http://on.wsj.com/hQTSrU",John,[]
64,Lying in bed with a cold is made more fun watching conservative spokesdouches lose their collective shit over Obama's shift on DOMA.,Jere Keys @🏡,[]
65,"Redneck word of the day: OBAMA - ""I bought me a bag of stash and smoked it Obama self""",Marilyn P. ♐,[]
66,"Oh god, here comes the segment where Gwyneth Paltrow sings.#oscars #obama",CriticBehindCurtain,"['oscars', 'obama']"
67,Why did #Obama have to be seen at the #oscars?!?!,Yonadav Tsuna,"['Obama', 'oscars']"
68,Apparently Barack Obama is a young person walking around downtown LA. #oscars,Yahel Carmon,['oscars']
69,Surprised? President Obama Signs Extension of PATRIOT Act: The Same Act He Railed Against During His Campaign. http://ow.ly/44jk3,Buddhagem,[]
70,Surprised? President Obama Signs Extension of PATRIOT Act: The Same Act He Railed Against During His Campaign. http://ow.ly/1s57O3,Buddhagem,[]
71,David Gregory has been harder on Trumka about Pres Obama than he was with Walker on his BLATANT lies. Fuck.,Brian Thee Aspie,[]
72,Take a second to tweet @BarackObama and ask him to keep his promise: http://www.youtube.com/watch?v=SA9KC8SMu3o #OnWisconsin,twoheadedbah,['OnWisconsin']
73,"@BarackObama Will you walk on the picket line with Wisconsin's workers, as you promised during your campaign?",twoheadedbah,[]
74,"""George W. Obama"" and his new foreign policy: http://lat.ms/hewMsd",Daniele Sobrini,[]
75,"@sonialu Made some Kenyan friend of mine to do it. We gave them Obama and now pizza for dem, Yay for Kenya",Abdullahi Halakhe,[]
76,"@BarackObama 
Glory to God.......en SKPE  Maria jinmenez 
idyhaceddiscipulos",Ministerio Internacional Id y Haced Discipulos,[]
77,@MMFlint Obama ia being weak during these unions protest. He needs to step up with his shoes and get down to the real business.,Leonardo A. Binns II,[]
78,Obama http://bit.ly/hg9F9K via http://outside.in/10462,10462,[]
79,Obama http://bit.ly/exdX07 via http://outside.in/10461,10461,[]
80,“@weeklystandard: Obama Tonight: Yemen and Somalia Are Models of Success (!) http://tws.io/1rJyXne ” Just like Chicago and Detroit.,Doc Shellback,[]
81,"Oh, I forgot to point to my map of everywhere Obama holds meetings and events in the White House. http://j.mp/1uJcppN ",Philip Bump,[]
82,"@gretawire @FoxNews @BarackObama @jimgeraghty @susanferrechio @McCormackJohn YES, and they are all clairvoyant. That poll means what again?",Len Elmore,[]
83,Obama To Announce US Will Expand Airstrikes On Islamic State: WASHINGTON (CBSNewYork/AP) — President Barack Obama... http://dlvr.it/6srgnW ,New York Now,[]
84,President Obama delivering his plan to combat ISIS terrorist group at 9PM EST tonight #news12wc,Naveen Dhaliwal,['news12wc']
85,“@WSJPolitics: A day Democrats never thought would come. Obama has a worse image than George W. Bush. Its a colored polling approach.,FosterArchitecture,[]
86,"Yes ""@USATODAY: Obama pledges to 'destroy' Islamic State http://usat.ly/1rJmvE7 ”",Chris Miles,[]
87,"“@mtracey: ""Obama has adopted the same view of war powers as the Bush administration.” -- John Yoo http://www.buzzfeed.com/gregorydjohnsen/obama-will-fight-isis-with-george-w-bushs-legal-theories#4dduv6s …” Because its there",FosterArchitecture,['4dduv6s']
88,"It's pretty remarkable that Obama unveils his war on ISIS on the last day of the 13th year of the ""war on terror.""   http://j.mp/1tyzDy3 ",Philip Bump,[]
89,"Yes, model on success. RT @nytimes: Breaking News: Obama to Compare Plan for ISIS to U.S Fights in Somalia and Yemen
http://nyti.ms/1rJjeod ",max finkel🏴,[]
90,@markknoller I don't know who the less effective leader is.. @nflcommish or @BarackObama ??,Marc,[]
91,"Less talk. More action.  RT @WhiteHouse: At 9pm ET, President Obama will address the nation on our strategy to degrade & destroy ISIL",Alexis Bisagni,[]
92,"@clbikesale @WSJPolitics @WSJ Let's also remember Obama's policies got Bin Laden, two administrations later that we know of.",Richard C. Godfrey,[]
93,@clbikesale @WSJPolitics @WSJ Apples' wonderful spell check at work again. Well let's see how the rest of Obama's term works out.,Richard C. Godfrey,[]
94,@edshow @BarackObama @ThePlumLineGS Joe Varden has been among the most obstructive congressmen; thanks but no thanks!,lepton939,[]
95,Rand Paul will deliver a response to Obama's speech tonight. I'll get my tinfoil hat ready!,Daniel Aubry,[]
96,"@edshow Ds heed GOP's criticism of Obama's deliberation on ISIS strategy
Ds silent through Bush's aggression in Iraq that led 2 ISIS #edshow",A. J. Charles,['edshow']
97,"Se ta complicandi la cosa manana 11 de septiembre y Obama habla esta noche. Mas maldita guerra, toi jarto. @testigo @KennyValdezL",LUIS CONTRERAS,[]
98,@BarackObama @MichelleDBeadle @CNN let's be consistent if we want real change in this world let's not turn it into a popularity contest.,BeeLuvinLife,[]
99,Hey @BarackObama @MichelleDBeadle @cnn why not uproar about a judge who hit his wife got sweet deal & still got his job.wheres the uproar?,BeeLuvinLife,[]
100,"There’s an impeach Obama stand in the Times Square subway station. I mean, you can’t wait eleven months?",Juliana Antoninus,[]
101,fox5ny I so bored; changing spunky says go masterbate haha redundant lol @barackobama oh… https://www.instagram.com/p/BBhym_2Bxho/ ,Paris Frelinghuysen,[]
102,I so bored; changing spunky says go masterbate haha redundant lol @barackobama oh… https://www.instagram.com/p/BBhym_2Bxho/ ,Paris Frelinghuysen,[]
103,"#thanksobama #change #gas #obama @ New York, New York https://www.instagram.com/p/BBgRFMTzWjOjJLHA4fGj7hWMdFW9LfJk2RnlB00/ …",Macho Cordero,"['thanksobama', 'change', 'gas', 'obama']"
104,#DontBernMeBro: Why Sanders is Parroting GOP Talking Points on Obama's Jobs Record  http://www.thepeoplesview.net/main/2016/2/5/dontbernmebro-why-sanders-is-parroting-gop-talking-points-on-obamas-jobs-record …,Spandan @ TPV,['DontBernMeBro']
105,"Republicans are Jokers especially Rubio the economy is growing, employment under 5% and yet Obama doesn't know what he's doing
be for real",Ademola Oni,[]
106,I think @marcorubio is a broken robot saying the same thing about @BarackObama 3 times in a row as if it's brand new. #GOPDebate,Andrew,['GOPDebate']
107,"Rubio: I’m the republican barack obama and I hope nobody attacks me about this

Christie: O RLY?",Nelson Pecora,[]
108,“Rubio: Are you the republican Barack Obama?” noice,Nelson Pecora,[]
109,"BBC News - Before Obama & Hillary, there was Shirley Chisholm, 1st black woman to run for president in 1972 http://www.bbc.com/news/magazine-35057641?SThisFB …",Justine Calma,[]
110,#DontBernMeBro: Why Sanders is Parroting GOP Talking Points on Obama's Jobs Record  http://www.thepeoplesview.net/main/2016/2/5/dontbernmebro-why-sanders-is-parroting-gop-talking-points-on-obamas-jobs-record …,Spandan @ TPV,['DontBernMeBro']
111,"@TheEllenShow @BarackObama yes Ellen, that is going to b so cooool if u get @POTUS to play that game.",jennifer,[]
112,An important proposal for transportation investment: Obama to propose $10-a-barrel oil tax http://www.politico.com/agenda/story/2016/02/obama-oil-tax-budget-000038?cmpid=sf#ixzz3zEUJ4vxp …,Alexander Bryden,['ixzz3zEUJ4vxp']
113,President Obama in the Bronx last year. #Throwback @ Lehman College https://www.instagram.com/p/BBWPlhRvKxKReYvXOaMkN2harAZ1Bub_fS-GGg0/ …,Andre C. Rivera,['Throwback']
114,"For the lovers and the haters... It's official: one more year! 
Agora é oficial titio Obama… https://www.instagram.com/p/BBVaVkfnYkA/ ",Flavia Simoes,[]
115,"Gm. When I'm boss, this is how I wanna be. #obama @ First Baptist Church Inc https://www.instagram.com/p/BBUmM2DnknJ/ ",JoeGenaoFilms,['obama']
116,"Continuando a serie #newyork ... #obama #dumbo #brooklyn @ DUMBO, Brooklyn https://www.instagram.com/p/BBUlh1StyRt/ ",Fernando Innecchi,"['newyork', 'obama', 'dumbo', 'brooklyn']"
117,@MatthewMcClusky thanks Obama,zach,[]
118,"Michelle Obama Sighting: New York, New York/ Grand Hyatt http://bit.ly/20FcoE6  @1stLadyObama @MichelleNews",Pulse: Celebrity Updates,[]
